"Question #","Question Text","Answer 1","Answer 2","Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)"
"374","Concept: Genre clues help readers identify realistic fiction. Question: Which sentence is most likely from realistic fiction?","A pencil danced across the desk.","A dragon guarded the silver bridge.","Jordan forgot his homework on the bus.","The moon whispered to the stars.","35","3"
"375","Concept: Genre clues help readers identify fantasy. Question: Which sentence is most likely from fantasy?","A rabbit wore boots and spoke to the mayor.","The class planted beans in cups.","Mom packed sandwiches for lunch.","The team practiced after school.","35","1"
"376","Concept: A biography tells the true story of a real person. Question: Which title is most likely a biography?","How to Bake Muffins","Poems for Windy Days","The Life of Ruby Bridges","The Secret of the Talking Tree","35","3"
"377","Concept: In a drama, characters speak the lines. Question: Which feature belongs to a play?","a glossary","a recipe list","stage directions","a bar graph","35","3"
"378","Concept: Poetry often uses lines and rhythm. Question: Which feature is common in poetry?","step-by-step directions","chapter numbers only","caption boxes","short lines","35","4"
"379","Concept: A folktale is often passed down and teaches a lesson. Question: Which idea best shows that a story is a folktale?","It explains how to build a kite.","It teaches a lesson through events.","It gives directions for a game.","It lists facts about frogs.","35","2"
"380","Concept: Informational text teaches with facts. Question: Which sentence is most likely from informational text?","Some frogs can leap many times their body length.","The pond sang a sleepy song.","Maya wished the clouds could talk.","A giant turtle wore a crown.","35","1"
"381","Concept: Persuasive text tries to convince the reader. Question: Which sentence is most likely from persuasive writing?","The squirrel found an acorn near the tree.","Bees carry pollen from flower to flower.","You should bring a reusable bottle to school each day.","The poem has four short lines.","35","3"
"382","Concept: Authors write to inform, entertain, or persuade. Question: An article explains how clouds form. What is the author's purpose?","to persuade","to confuse","to inform","to entertain","35","3"
"383","Concept: Authors sometimes persuade readers to act. Question: A poster says, ""Join the cleanup team this Saturday!"" What is the author's purpose?","to entertain","to persuade","to retell a folktale","to inform only","35","2"
"384","Concept: Authors use visuals for a reason. Question: What is the most likely reason an author includes a photograph in an article about penguins?","To introduce a fictional hero","To show what penguins look like","To hide the central idea","To replace all written facts","40","2"
"385","Concept: Headings help organize information. Question: What is the purpose of a heading called ""Food and Shelter"" in an animal article?","To show what the section is mostly about","To tell the ending of the article","To list the author's favorite animals","To explain a simile","40","1"
"386","Concept: Bold print helps important words stand out. Question: Why might an author print the word ""habitat"" in bold?","To hide a clue from readers","To show the text is fantasy","To turn the article into poetry","To highlight an important word","40","4"
"387","Concept: Captions explain visuals. Question: What is the purpose of a caption under a diagram?","To show a new chapter begins","To explain the visual","To give the answer key","To name the author only","35","2"
"388","Concept: Diagrams help readers see parts or steps. Question: Which text feature would best show the parts of a bicycle?","a poem stanza","a cast list","a chapter title","a labeled diagram","35","4"
"389","Concept: A graph helps compare numbers. Question: Which text feature would best compare how many books four classes read?","a graph","a glossary","a dialogue line","a scene heading","35","1"
"390","Concept: A table helps organize facts for comparison. Question: Which text feature would best compare the heights of three mountains?","a subtitle only","a dedication","a table","a speech bubble","35","3"
"391","Concept: Maps help readers locate places. Question: Which text feature would best help a reader see where deserts are located?","a cast list","a poem","a paragraph label","a map","35","4"
"392","Concept: Timelines show events in order. Question: Which text feature would best show the order of important events in a person's life?","a map key","a diagram","a timeline","a glossary","35","3"
"393","Concept: A glossary explains special words. Question: What is the purpose of a glossary in nonfiction?","To show the ending first","To list every chapter title","To define important words","To compare numbers in a chart","35","3"
"394","Concept: Evidence supports an inference. Question: Which detail best supports the inference that Ava is nervous before the recital?","Her hands shake as she walks to the stage.","The piano is polished.","Her grandma sits in the front row.","Her dress is blue.","40","1"
"395","Concept: Readers can infer ideas from clues. Question: Leo packs a raincoat, boots, and an umbrella before school. What can the reader infer?","Leo forgot his homework.","Leo is going swimming.","Leo dislikes cold drinks.","Leo expects rainy weather.","40","4"
"396","Concept: Text evidence supports ideas about feelings. Question: Which detail best supports the idea that Mr. Chen is proud?","He smiles and claps after the project is finished.","He wears a green shirt.","He places books on a shelf.","He walks to the window.","40","1"
"397","Concept: Readers can connect ideas across texts. Question: Text 1 is about learning piano. Text 2 is about learning soccer. Which statement best shows a connection between the texts?","Both texts explain how machines work.","Both texts are about wild animals.","Both texts show that practice helps people improve.","Both texts describe the same setting.","40","3"
"398","Concept: Good readers ask questions to deepen understanding. Question: Which question would best help a reader understand a section called ""How Seeds Travel""?","What color is the cover?","What are some ways seeds move to new places?","Who sharpened the pencils?","How many words are in the title?","40","2"
"399","Concept: Evidence can support an inference about a setting. Question: Which detail best supports the idea that a storm is getting closer?","Thunder rumbles and the sky grows dark.","A bird sits on a fence.","The grass is green.","The mailbox is red.","40","1"
"400","Concept: Inferences can reveal character traits. Question: Maya notices a classmate alone and invites him to join her group. What can the reader infer about Maya?","She is jealous.","She is impatient.","She is careless.","She is kind.","40","4"
"401","Concept: Evidence supports a key idea. Question: Which detail best supports the idea that art can make a garden more interesting?","Many gardens use fences for safety.","Some watering cans are metal.","Gardens need soil and water to grow.","Bright mosaics and painted signs add color to the space.","40","4"
"402","Concept: Inferences come from actions and clues. Question: A student rewrites a paragraph three times and asks for feedback each time. What can the reader infer?","He forgot the topic.","He is ready to quit.","He wants to improve his work.","He does not care about the assignment.","40","3"
"403","Concept: Text evidence can support an idea about friendship. Question: Which detail best supports the idea that two students work well together?","They both wear sneakers.","They each bring lunch from home.","They take turns carrying supplies for the project.","They sit near the same window.","40","3"
"404","Concept: Theme is the lesson or message of a story. Question: A child keeps practicing a skateboard trick and finally lands it. Which theme best fits the story?","Parks need more benches.","Practice can lead to success.","Friends must always agree.","Skateboards should be painted bright colors.","40","2"
"405","Concept: Theme tells what readers can learn from a story. Question: A girl tells the truth after breaking a vase and feels relieved. Which theme best fits the story?","Mistakes never happen.","Homes should have fewer shelves.","Honesty matters.","Vases are hard to replace.","40","3"
"406","Concept: Theme can come from acts of kindness. Question: A class helps a new student learn routines and feel welcome. Which theme best fits the story?","Kindness helps others feel included.","Schools need more bells.","Classrooms should be larger.","Rules are always confusing.","40","1"
"407","Concept: Character relationships show how people feel toward each other. Question: Ava asks Grandpa to read her writing because she values his advice. Which statement best describes their relationship?","Ava wants to avoid Grandpa.","Grandpa is annoyed by Ava.","Ava does not listen to Grandpa.","Ava trusts Grandpa's opinion.","40","4"
"408","Concept: Character traits can be inferred from behavior. Question: Mei keeps practicing the piano piece even when it is difficult. Which trait best describes Mei?","careless","determined","lazy","forgetful","35","2"
"409","Concept: Plot includes the main problem, events, and solution. Question: Which event best shows the conflict in a story about a lost backpack?","Lena ties her shoes.","Lena cannot find the backpack before the bus arrives.","Lena packs two notebooks.","Lena waves to her neighbor.","40","2"
"410","Concept: Resolution shows how a problem is solved. Question: Which event best shows the resolution in a story about a broken fence?","The dog barks near the gate.","The family repairs the fence and the dog stays safe in the yard.","The family notices a loose board.","The yard has green grass.","40","2"
"411","Concept: Sequence helps readers know what happens next. Question: Which event would most likely happen after a class gathers ingredients for muffins?","The recipe card is put away.","The muffins cool on a rack.","The class eats the muffins.","The batter is mixed in a bowl.","35","4"
"412","Concept: Conflict can grow as new problems appear. Question: Which event adds to the conflict in a story about a science fair project?","The table is covered with paper.","The teacher smiles at the class.","The ribbon is blue.","The volcano model cracks the night before the fair.","40","4"
"413","Concept: Central idea is the main point of an informational text. Question: Which sentence best states a central idea for an article about recycling?","One student collected cans yesterday.","The blue bin is near the wall.","Some paper is white and some is brown.","Recycling helps reduce waste and reuse materials.","40","4"
"414","Concept: Supporting details prove a central idea. Question: Which detail best supports the idea that bees help plants grow?","A bee has six legs.","Bees can be yellow and black.","Bees carry pollen from flower to flower.","Some bees live in hives.","40","3"
"415","Concept: Central idea tells what the text mostly teaches. Question: Which sentence best states a central idea for an article about maps?","One map hangs by the door.","Some maps use blue for water.","Maps help people understand where places are.","The classroom globe is round.","40","3"
"416","Concept: Readers can identify details that do not support a key idea. Question: Which detail does NOT support the idea that school gardens teach responsibility?","The gym floor was polished on Monday.","Students remember to water the plants.","Students watch seeds sprout over time.","Students pull weeds from the beds.","40","1"
"417","Concept: Central idea can connect to science and history topics. Question: Which sentence best states a central idea for an article about fossils?","Scientists use brushes and tools.","Some fossils are very small.","A fossil can be found in rock.","Fossils give clues about plants and animals from long ago.","40","4"
"418","Concept: Good readers ask questions after reading. Question: After reading an article about sharks, which question would best deepen understanding?","What day was the article printed?","How many letters are in the title?","What color is the page border?","How do sharks help keep ocean ecosystems balanced?","40","4"
"419","Concept: Readers can connect text ideas to real life. Question: An article explains how a school garden shares vegetables with families. What is one way this idea can help a community?","It removes the need for stores.","It turns summer into winter.","It makes every classroom larger.","It can provide fresh food for people nearby.","40","4"
"420","Concept: Text features support understanding. Question: Which text feature would best show the parts of a plant?","a dialogue line","a labeled diagram","a paragraph summary","a scene heading","35","2"
"421","Concept: Authors include quotations for a reason. Question: What is the most likely reason an author includes a gardener's quote in an article about community gardens?","To make the article shorter only","To give a real person's point of view","To hide the central idea","To replace all the facts","40","2"
"422","Concept: Authors use repeated words to add meaning. Question: What is the most likely reason a poet repeats the words ""step by step"" in a poem about climbing a hill?","To describe a loud noise","To emphasize steady progress","To tell readers to skip the poem","To confuse the order of events","40","2"
"423","Concept: Visuals can support an author's purpose. Question: What is the most likely reason an author includes a photograph at the beginning of a garden article?","To introduce a fictional character","To replace all the written information","To show what the garden looks like before readers learn more about it","To reveal the ending immediately","40","3"
